"","X","business_id","review_id","user_id","stars.x","date","text","useful","funny","cool","name","address","city","state","postal_code","latitude","longitude","stars.y","review_count","is_open","categories"
"11",351898,"2Ff3ixS3vA70xBcN7pVo9g","06vUro9JA2kmCB2vShWUYg","BeKdePhlBKQkVcHsc8MOCw",4,"2015-10-07","LOVE Chipotle. Yes its a bit pricey but what can you do when it's the first one in Vaughan.",0,0,0,"Chipotle Mexican Grill","1 Bass Pro Mills Dr, Ste FC6A","Vaughan","ON","L4K 5W4",43.8253343578,-79.5383223519,3,14,1,"Restaurants;Fast Food;Mexican"
"12",351899,"2Ff3ixS3vA70xBcN7pVo9g","SYGnFjP3jbkETiNLERKeLw","AVVEFYHmFUa9oUhy2DIQFA",4,"2016-02-02","Chipotle out in the suburbs? Yes please! :)

I was highly anticipating the arrival of Chipotle inside Vaughan Mills as I usually find myself going over to Yorkdale or downtown to satisfy my Chipotle cravings.

This location is on point just as the other locations across the city..large portions, assembly line style of ordering (rice\/meats\/salsas\/sour cream\/cheese\/lettuce). I got my usual half chicken half steak bowl.. delicious! Price is great for the large portion you get (~$10).

The line up can get pretty hectic and long during the weekends, would not recommend going at these times as it's hard to find a table in the food court. Only complaint is that this location does not offer lemon wedges like the stand-alone stores.",1,0,0,"Chipotle Mexican Grill","1 Bass Pro Mills Dr, Ste FC6A","Vaughan","ON","L4K 5W4",43.8253343578,-79.5383223519,3,14,1,"Restaurants;Fast Food;Mexican"
"13",351900,"2Ff3ixS3vA70xBcN7pVo9g","vJx9WexC1meWciq3js9LIg","ijR5C1EFbRxmRBWEsf32fA",2,"2017-11-20","Very standard... 
If u have tried mucho burrito u cannot like it. 
Cold burrito, no flavors in salsa... no likes..",0,0,0,"Chipotle Mexican Grill","1 Bass Pro Mills Dr, Ste FC6A","Vaughan","ON","L4K 5W4",43.8253343578,-79.5383223519,3,14,1,"Restaurants;Fast Food;Mexican"
"14",351901,"2Ff3ixS3vA70xBcN7pVo9g","fRjJWT3_jYsMk1BOjzIFjw","mwY3HczjoNL5P6kj5fVk5Q",2,"2017-01-21","Compare to other chipotle that I've been to, this ones probably the worse. Ive always gotten a whole bowl full and offered all the ingredients available while this one only offered 4 ingredient including the meat when I asked for everything. Corn was there but I wasn't given the option of getting. Portioning was half full compared to other chipotles like the downtown locations.",0,0,0,"Chipotle Mexican Grill","1 Bass Pro Mills Dr, Ste FC6A","Vaughan","ON","L4K 5W4",43.8253343578,-79.5383223519,3,14,1,"Restaurants;Fast Food;Mexican"
"15",823425,"826djy6K_9Fp0ptqJ2_Yag","cmwPZUjx2cyftNJE4FAOPw","CvIEHZF79KLrpNachZzDjA",4,"2013-01-24","I LOVE CHIPOTLE! It's not the best burrito in Toronto obviously, but this location is awesome and funky. It was full on business men and women (obvi) during lunch on a weekday. I don't really like that but meh... I do still prefer the Dundas Yonge location.

I got the carnitas, it was amazing as always - packed and juicy and fresh. The staff kind of rush you here I find? I don't wanna be rushed dammit!!! I also got the guac and salsa, pretty standard. 

They only take CREDIT CARDS and CASH!!!  NOOOOO DEBIT!!!!!!! pay attention.",1,1,1,"Chipotle Mexican Grill","123 Front St, Unit 103 and 103-A","Toronto","ON","M5J 2M2",43.6449201,-79.3833328,3.5,80,1,"Mexican;Fast Food;Restaurants"
"16",823426,"826djy6K_9Fp0ptqJ2_Yag","UEFwuLCfKzT9Upubf99o6g","Vv5meHrNmEnEJneGHsPZ-Q",5,"2016-02-21","I love chipotle with a burning passion. 
Something about the rice and meat and salsa and sour cream and cheese is so yummy mixed all together. 
I love this location they give extra everything and don't make you feel ashamed or anything about it. 

They are quick and clean. And even when there was a big line they did their job fast enough to not make anyone wait too long but thorough enough that what the customer orders is spot on !",0,1,1,"Chipotle Mexican Grill","123 Front St, Unit 103 and 103-A","Toronto","ON","M5J 2M2",43.6449201,-79.3833328,3.5,80,1,"Mexican;Fast Food;Restaurants"
"17",823427,"826djy6K_9Fp0ptqJ2_Yag","Bq4gIK6KXU7P3zb-OCKrzg","Kw0ac1SPzwvyc37MVGCDig",5,"2015-12-03","This location is top notch. The staff is friendly, accommodating, and efficient. Service is consistent, as is the food. The location is clean, despite being really busy at lunch times. Our company sings praises of Karl and his team, and continue to order from them for a go-to lunch.",0,0,0,"Chipotle Mexican Grill","123 Front St, Unit 103 and 103-A","Toronto","ON","M5J 2M2",43.6449201,-79.3833328,3.5,80,1,"Mexican;Fast Food;Restaurants"
"18",823428,"826djy6K_9Fp0ptqJ2_Yag","BoXZdYxgPDsz68TgF3XTOQ","R-xGsTpwlwuOe_vAbg_aeA",5,"2016-06-06","What can I say? I love this place! Every time I crave a burrito bowl, I come here! I can't recall how many times i've eaten at Chipotle but if you want Mexican food for a reasonable price, come here. The portions are huge and the ingredients used are not only fresh but so tasty. The one thing that you must get is their homemade guacamole on in your bowl\/burrito or with their chips. It's so fresh and totally worth the extra $2.21. The meat options include steak, chicken, barbocoa, and sofritas. You also have the option of mixing two different types of meat.

Almost every time I come here there is always a lineup especially during the lunch and dinner hour but the service is quick and efficient.

Come here and you won't be disappointed!",0,0,0,"Chipotle Mexican Grill","123 Front St, Unit 103 and 103-A","Toronto","ON","M5J 2M2",43.6449201,-79.3833328,3.5,80,1,"Mexican;Fast Food;Restaurants"
"19",823429,"826djy6K_9Fp0ptqJ2_Yag","DVX3m-9b5w3_ho7ZS0r9_A","m2PUIkHQUgWIh-ct-SUPmw",4,"2017-08-07","The only thing holding me back from giving 5 stars is paying for guacamole. I think it's an outdated concept that's similar to charging for ketchup or soy sauce. Everything else, this place does it for me either in burrito or bowl form. The meat and beans are fresh and they always have a great mix of vegetables to add to your bowl. The lines can get pretty long if you go at peak lunch time though so I suggest you use the online ordering system so you can just pick up at the front. 

I never venture off from chicken or steak but they're more than delicious enough to keep me happy. Chipotle is a staple in the fast fresh industry and you should try it if you haven't already done so.",0,0,0,"Chipotle Mexican Grill","123 Front St, Unit 103 and 103-A","Toronto","ON","M5J 2M2",43.6449201,-79.3833328,3.5,80,1,"Mexican;Fast Food;Restaurants"
"20",823430,"826djy6K_9Fp0ptqJ2_Yag","LBZO8Wqc22-_z0Fptk7wwQ","rMPM-VqqtB8k48nR7q780w",5,"2016-11-20","Comme toujours j'adore Chipotle
Atmosphere, musique et BOUFFE !
Excellent !
Pres de la gare Union, buen placé.
Beaucoup de monde dimache midi!
Génial !",0,0,0,"Chipotle Mexican Grill","123 Front St, Unit 103 and 103-A","Toronto","ON","M5J 2M2",43.6449201,-79.3833328,3.5,80,1,"Mexican;Fast Food;Restaurants"
"21",823431,"826djy6K_9Fp0ptqJ2_Yag","gO12gE7P1TuKbGjx65hR9w","New-yv7k9vZJw9iLTm0cEw",4,"2017-05-09","Tastes really good and Gluten Free!

Have to say this really isn't Mexican food I would call it Canadian Mexican food. 

Don't get me wrong it's really good and tastes great and I would go back again and again. 

I had the Vegetarian bowl $8.95 and they don't bother if you ask them to keep adding more rice or beans or anything else! Also when you get a Vegetarian bowl, which is the same price as any meat options, you get guacamole free. 

The bowl is huge and I couldn't finish it and it tastes good. I asked for all 3 sauces, regular Salsa, medium and hot salsas. Just a hint, if you like hot food make sure they add a lot more hot Salsa and some Tabasco. 

Great place.",2,1,1,"Chipotle Mexican Grill","123 Front St, Unit 103 and 103-A","Toronto","ON","M5J 2M2",43.6449201,-79.3833328,3.5,80,1,"Mexican;Fast Food;Restaurants"
"22",823432,"826djy6K_9Fp0ptqJ2_Yag","UGoL9AytV_zu9hzzCDOw2g","i-pSIKc1Vq0BaKp9emTpog",5,"2014-07-30","This place is a favourite of mine. So delicious! I'm not one to order salad at a restaurant, but the steak salad is amazing! Love it so much!",0,0,0,"Chipotle Mexican Grill","123 Front St, Unit 103 and 103-A","Toronto","ON","M5J 2M2",43.6449201,-79.3833328,3.5,80,1,"Mexican;Fast Food;Restaurants"
"23",823433,"826djy6K_9Fp0ptqJ2_Yag","xKVa5qot8s-eoXagZ8mMbw","Crwc47HiLt8VKXlxUWkyUg",2,"2012-09-11","Pros : Convenient  location , great if you want to grab a quick bite, fresh ingredients.
Cons: For $10 for a burrito\/bowl\/tacos, it aint worth my money. I got a vegetarian bowl and me being a small eater , looked at the size and thought to myself - I spent $ 10 for this !!!!!!!! After finishing the meal , I was still hungry.  And I dont know what other reviewers are talking about regarding the huge portion sizes. I felt that the portion served at this location was miserly. Taste is good, not awesome, not legendary !",0,0,0,"Chipotle Mexican Grill","123 Front St, Unit 103 and 103-A","Toronto","ON","M5J 2M2",43.6449201,-79.3833328,3.5,80,1,"Mexican;Fast Food;Restaurants"
"24",823434,"826djy6K_9Fp0ptqJ2_Yag","Dx68_MIh5C7yQi670CKOXQ","Bf-X9oxiiRvzgrwguUWoeg",1,"2013-09-11","Who the hell does these people think they are? Charging over $11 for a burrito + drink. Maybe I should open a spring roll restaurant in a posh area and charge nearly double that price to capitalize on these mindless consumerism......oh wait...

I spent over $13 on lunch when I came here with a former co-worker, he said this place was dope. I'm looking at the prices and thought to might self, these better be actual dope if I'm spending this kind of money on such kitsch food!
 
The effing thing was huge, bigger than any roll I have ever...okay you get the idea. It must have been a pound of burrito. Such North American indulgence over even the simplest of things. 
With avocado, the burrito was alright. In my opinion, it is not at all edible without it.
With drink and a side of chips, it was thirteen bucks. THIRTEEN BUCKS!
Since when did tacos become apart of the illustrious yuppie lifestyle?!
They even have a kids menu, which looks like a box lunch you would make for your kids if the main course was a pack of DunkAroos. 
The counter was so white, it didn't even look like a fast food restaurant. 
The website states that they have a philosophy of using healthful ingredients, and being picky with it's source of meat. 
I can use the same philosophy, open a corner hot dog stand, and sell the dogs at six dollars each, justifying it by claiming the dogs were purchased from Pussateri's, or some local farm. The point is; WHO CARES?!
IT'S TACOS!

Take $13, and go to any other restaurant not disillusioned by greed and a culture of conspicuous consumption, and see what you can get for lunch. $13 gets you lunch for two at T&T super market only five minute drive away.
$13 gets you a buffet worth of tacos at Taco Bell. It gets you in a pretentious nightclub on a Friday night anywhere in the city (with coat-check)!
But maybe you want to spent that $13 on a burrito and some chips...

They even have a patio. Burrito goes al fresco. Nice...why don't we go for the full authentic experience and replace the outdoor tables with a loading dock curb, get a broken down truck was spray you with exhaust, and have people standing at the corner dealing crack. I'd pay $13 for that!
And where's the tequila?? You try to find me a dry 'Mexican Grill' in Mexico!
This place is so fake it's a insult to the Mexican people. 

The service here is an awkward conversation, and there are no photos on the menu depicting the food. As if I'm supposed to know what everything is supposed to be. The floor is devoid of any decor whatsoever. 

My buddy was right, this place really is 'dope'.",4,7,2,"Chipotle Mexican Grill","123 Front St, Unit 103 and 103-A","Toronto","ON","M5J 2M2",43.6449201,-79.3833328,3.5,80,1,"Mexican;Fast Food;Restaurants"
"25",823435,"826djy6K_9Fp0ptqJ2_Yag","rqskvCGF8gCOomnLTorSOw","cB1PpNWe3DKJr9ysf3ATJQ",4,"2015-10-28","Chipotle never disappoints me. I am never left feeling hungry after eating here. Today I got a steak burrito bowl. Actually I'm still polishing it off right now (I'm a super slow eater). Anyways, when I got there around 1:30 PM, there was no line-up and my food was ready in 2 mins. The portions aren't massive but they give enough to satisfy me. The food always taste great and fresh, which is more important to me than portion size.  I learned this after eating dog food at Burrito Boyz... well it tasted like dog food, but I'll save that when I write that review.

I thought my bowl was a good size but then, a lady sat beside me and hers was bigger and looked a million times better. I looked back and they changed staff so I guess my guy just sucked or thought I needed to lose weight or thought I couldn't take a big bowl or whatever. It's fine, but I just wish they were more consistent. I'm still really enjoying my bowl even though my dentist froze half of my mouth. I probably would've enjoyed it more with a full mouth though. Next time!",1,3,0,"Chipotle Mexican Grill","123 Front St, Unit 103 and 103-A","Toronto","ON","M5J 2M2",43.6449201,-79.3833328,3.5,80,1,"Mexican;Fast Food;Restaurants"
"26",823436,"826djy6K_9Fp0ptqJ2_Yag","LxCc7fYz_UPWRXJ0nCkJMg","i0o5aANZuU76bYgdcrkg_g",4,"2015-01-24","It was a Friday and my coworker and i were starving and were left leaving work for lunch late. He recommended Chipotle after trying one in the states. The location is pretty good for people working downtown because its right by Union Station. 

When we go there, it was 1 pm on a Friday and the line was still long! I hesitated on staying after seeing the long line, but we decided to stay. I got the feeling the lineup was always long, probably due to the quality and hype it got from the states, and its location. We were at the end of the line, and it took around 8 minutes for our turn to order.

I got a good 'ol chicken burrito, with a mild spice. It wasn't spicy at all, so mild is a good choice for those who cannot handle their spices! I think i can go medium spice next time. The burrito itself was huge, but so good. Tasted pretty healthy too, so i ended up being satisfied afterwards. I also got their chips and medium salsa, which was around $3 which was pretty good, because the amount was pretty large. I really enjoyed their medium salsa - it was spicy, flavourful and refreshing. For my drink i ended up grabbing a beer for around $4.50 (they don't have much of a selection, but it went well with the burrito).

I would recommend those visiting or working in the downtown core to try this place out.

Disfrute ! :)",2,0,0,"Chipotle Mexican Grill","123 Front St, Unit 103 and 103-A","Toronto","ON","M5J 2M2",43.6449201,-79.3833328,3.5,80,1,"Mexican;Fast Food;Restaurants"
"27",823437,"826djy6K_9Fp0ptqJ2_Yag","T8SuJntmEvXdhWcXJ8m9nQ","GXjja_W8b1-lfUvdsQt02g",4,"2016-08-28","Uncomplicated good food served fast and at a reasonable price. What else do you need when you are on the go but still have to eat? Look no further.",0,0,0,"Chipotle Mexican Grill","123 Front St, Unit 103 and 103-A","Toronto","ON","M5J 2M2",43.6449201,-79.3833328,3.5,80,1,"Mexican;Fast Food;Restaurants"
"28",823438,"826djy6K_9Fp0ptqJ2_Yag","WrxcOuWym0MVW73pbwZPkw","-Yu8D9MmEShAwplatiFE7A",3,"2012-11-02","Heard some really good things about Chipotle so made a trek today at lunch to try it out. Was good but I think my expectations were raised a little to high. 

First thing I noticed was the line up of about 15-18 people ahead of me, but was extremely surprised and impressed at how speedy and efficient the service was. I had my food made, paid for in sat down to eat in probably about 3 minutes!

I ordered the spicy steak burrito. The main ingredients were very good and tasty but was missing the heat! I thought there might at least be a little kick to it but it never came. Guacamole was an extra $2.20 and seemed to be quite bland and boring.

Overall I feel it was a pretty decent meal, amazing and speedy service, but also slightly overpriced.",0,0,1,"Chipotle Mexican Grill","123 Front St, Unit 103 and 103-A","Toronto","ON","M5J 2M2",43.6449201,-79.3833328,3.5,80,1,"Mexican;Fast Food;Restaurants"
"29",823439,"826djy6K_9Fp0ptqJ2_Yag","JW8Jg8j_kVEvTPyRnXImWQ","CqoxW4uHMt7UTiy6yG26mw",5,"2016-05-09","We were running for a train and desired to grab some food here. The service was insanely fast. Thank you so much guys. You kill it. On our train now enjoying a tasty dinner :)",0,0,0,"Chipotle Mexican Grill","123 Front St, Unit 103 and 103-A","Toronto","ON","M5J 2M2",43.6449201,-79.3833328,3.5,80,1,"Mexican;Fast Food;Restaurants"
"30",823440,"826djy6K_9Fp0ptqJ2_Yag","0dW5nwN7JvSZHTFYWk6aKQ","si4O1PQFBIwhUM746IzGvA",2,"2017-06-09","I came here on my lunch and it was pretty packed in there. However the line moved quickly. I had the Sofritas bowl, nothing special about it. The bowl tasted like the fresh west naked burrito. After eating it, I felt a bit sick. I probably wouldn't come here again.",0,0,0,"Chipotle Mexican Grill","123 Front St, Unit 103 and 103-A","Toronto","ON","M5J 2M2",43.6449201,-79.3833328,3.5,80,1,"Mexican;Fast Food;Restaurants"
"31",823441,"826djy6K_9Fp0ptqJ2_Yag","7d4kLPkX8DUOQIVslnrjpg","lp3-xituNb8BY_MJSxvh9Q",4,"2014-07-25","This is a great place to grab a quick burrito. With your choice of meat (chicken, steak, or pork), beans (black or pinto), and rice (brown or white) and all the trimmings (mild, medium, or hot sauce; lettuce, grilled veggies, corn, and guac) there are so many variations.  I think the highlight is the tortilla which is large and pliable but manages to keep all the delicious fillings contained and minimizes mess (in case you're, let's say, riding the GO while eating). You can also forgo the tortilla and have a bowl with rice and salad instead. Great value at just over $10 as it's quite filling and well balanced. The staff are great at letting you add toppings like both hot and mild sauce (the latter is picco de gallo which brings a nice freshness to the meal). Guac is $2.21 extra",2,0,0,"Chipotle Mexican Grill","123 Front St, Unit 103 and 103-A","Toronto","ON","M5J 2M2",43.6449201,-79.3833328,3.5,80,1,"Mexican;Fast Food;Restaurants"
"32",823442,"826djy6K_9Fp0ptqJ2_Yag","W027gphoqV2SzvYL2FX9lw","eqWEgMH-DCP74i82BEAZzw",3,"2012-04-08","First trip to a Chipotle ever. The excitement! I scoped out the menu beforehand to prepare myself. That didn't take too long since it's pretty simple-burritos, burrito bowls or salad. You line up and it's assembled in front of you assembly line style. There aren't a ton of options-rice, meats (steak (2 types), carnitas (pork) and chicken), some vegetables, beans, rice and toppings like salsa, guacamole and sour cream.

The restaurant is shiny and open with benches and stools. It's not really set up for a leisurely meal. The people taking orders seemed to be more accustomed to people getting stuff to take away too. I went with salad to save the 290 calories of the tortilla and my friend is on a paleo kick so wanted a kind of salad bowl without the lettuce but with extra meat and guacamole. I thought the server's head might explode from being asked to deviate from the strict set menu but she kind of managed. They were reasonably quick and not unfriendly, although I can't say I felt like they were thrilled to see me!

We ended up with 2 salad bowls-his with guacamole and we decided on tap water to drink for a total of $24. Gulp. These were not huge meals, by the way. They were moderate sized and served in cardboard containers. We were given cups for our water and waved over to the self serve drinks machine area. Between the 2 of us, we absolutely could not figure out where the water was and had to go back to ask. In case you'd like some, it's the teeny tiny silver button just over the Nestea one. It would have been easier to steal some Diet Coke really.

As for the food? It was tasty! I liked my pork and his steak and guacamole looked good too. I think the prices are a bit steep though and it felt quite fast food-y for that. Also-no debit! Bring your credit card or (plenty of) cash.",2,1,1,"Chipotle Mexican Grill","123 Front St, Unit 103 and 103-A","Toronto","ON","M5J 2M2",43.6449201,-79.3833328,3.5,80,1,"Mexican;Fast Food;Restaurants"
"33",823443,"826djy6K_9Fp0ptqJ2_Yag","n3107PavPDY8SIKB7a0OKw","u1-eJASzd2zy8tJihhewqQ",5,"2016-03-29","Its been over a year since i had a bowl. I got veggie and it was amazing. Friendly service as well. 5stars",0,0,0,"Chipotle Mexican Grill","123 Front St, Unit 103 and 103-A","Toronto","ON","M5J 2M2",43.6449201,-79.3833328,3.5,80,1,"Mexican;Fast Food;Restaurants"
"34",823444,"826djy6K_9Fp0ptqJ2_Yag","5gwLgPbcONtRxIeszI8wPQ","oAffNVY6qJ744vXQCUYMiA",2,"2015-10-02","Don't understand the hype. Maybe it's just this location. Maybe it was an off night. But it was my first time having Chipotle and I have 0 desire to get it again. Steak burrito was bland and pretty small for the price. Fat Bastard is lightyears ahead. Burrito Boyz, Mucho Burrito, even Taco Bell or Taco Del Mar I enjoy more than what I had here. Staff were friendly at the very least.",0,0,0,"Chipotle Mexican Grill","123 Front St, Unit 103 and 103-A","Toronto","ON","M5J 2M2",43.6449201,-79.3833328,3.5,80,1,"Mexican;Fast Food;Restaurants"
"35",823445,"826djy6K_9Fp0ptqJ2_Yag","SLMSVRnXqOgmLBORj61B-A","rjPa_cnBrXnAF3PKBbpUsw",1,"2017-09-20","Nasty!!! No care in this food. They didn't even heat up the tortilla. Worst Chipotle location I've ever been to. They put what must have been old stale brown rice in my burrito because on 3 occasions I bit down on something that felt like it was going to break my teeth! 

Go somewhere else, this neighbourhood has many other burritos.",0,0,0,"Chipotle Mexican Grill","123 Front St, Unit 103 and 103-A","Toronto","ON","M5J 2M2",43.6449201,-79.3833328,3.5,80,1,"Mexican;Fast Food;Restaurants"
